Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Gw2Giveaway\Gw2Giveaway.csproj,File,Gw2Giveaway\Gw2Giveaway.csproj,,,Microsoft.Data.Sqlite 10.0.2,,,,,"Microsoft.Data.Sqlite, 10.0.2  Recommendation:  Remove Microsoft.Data.Sqlite, and replace with new package Microsoft.Data.Sqlite 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Gw2Giveaway\Gw2Giveaway.csproj,File,Gw2Giveaway\Gw2Giveaway.csproj,,,,,,,,Current target framework: net8.0-windows Recommended target framework: net10.0-windows
